sentence,intent,domain
Fes un anunci a tot arreu que digui que {message},HassBroadcast,None
Fes un anunci a tot arreu dient que {message},HassBroadcast,None
anuncia a tot arreu que digui que {message},HassBroadcast,None
anuncia a tot arreu dient que {message},HassBroadcast,None
Fes un broadcast a tot arreu que digui que {message},HassBroadcast,None
Fes un broadcast a tot arreu dient que {message},HassBroadcast,None
quina temperatura fa ara,HassClimateGetTemperature,None
quina temperatura fa actualment,HassClimateGetTemperature,None
quina és la temperatura ara,HassClimateGetTemperature,None
quina és la temperatura actualment,HassClimateGetTemperature,None
quanta calor que fa ara,HassClimateGetTemperature,None
quanta calor que fa actualment,HassClimateGetTemperature,None
quina calor que fa ara,HassClimateGetTemperature,None
quina calor que fa actualment,HassClimateGetTemperature,None
quina temperatura fa ara en el {area},HassClimateGetTemperature,None
quina temperatura fa ara en l'{area},HassClimateGetTemperature,None
quina temperatura fa ara en s'{area},HassClimateGetTemperature,None
quina temperatura fa ara en la {area},HassClimateGetTemperature,None
quina temperatura fa ara de el {area},HassClimateGetTemperature,None
quina temperatura fa ara de l'{area},HassClimateGetTemperature,None
quina temperatura fa ara de s'{area},HassClimateGetTemperature,None
quina temperatura fa ara de la {area},HassClimateGetTemperature,None
quina temperatura fa ara del el {area},HassClimateGetTemperature,None
quina temperatura fa ara del l'{area},HassClimateGetTemperature,None
quina temperatura fa ara del s'{area},HassClimateGetTemperature,None
quina temperatura fa ara del la {area},HassClimateGetTemperature,None
quina temperatura fa ara a el {area},HassClimateGetTemperature,None
quina temperatura fa ara a l'{area},HassClimateGetTemperature,None
quina temperatura fa ara a s'{area},HassClimateGetTemperature,None
quina temperatura fa ara a la {area},HassClimateGetTemperature,None
quina temperatura fa ara al el {area},HassClimateGetTemperature,None
quina temperatura fa ara al l'{area},HassClimateGetTemperature,None
quina temperatura fa ara al s'{area},HassClimateGetTemperature,None
quina temperatura fa ara al la {area},HassClimateGetTemperature,None
quina temperatura fa actualment en el {area},HassClimateGetTemperature,None
